color,fullpath,length
Black and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-001.mp4,3.251
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-002.mp4,2.103
Black and Malibu,temp_clips\Baby_Im_Back_IV\Scene-003.mp4,4.947
Black and Malibu,temp_clips\Baby_Im_Back_IV\Scene-004.mp4,3.051
Black and Malibu,temp_clips\Baby_Im_Back_IV\Scene-005.mp4,1.687
Gray and Malibu,temp_clips\Baby_Im_Back_IV\Scene-006.mp4,2.015
Gray,temp_clips\Baby_Im_Back_IV\Scene-007.mp4,3.31
Black and Malibu,temp_clips\Baby_Im_Back_IV\Scene-008.mp4,2.608
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-009.mp4,2.489
Black and Malibu,temp_clips\Baby_Im_Back_IV\Scene-010.mp4,0.856
White and Black,temp_clips\Baby_Im_Back_IV\Scene-011.mp4,3.946
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-012.mp4,4.723
Violet and Green,temp_clips\Baby_Im_Back_IV\Scene-013.mp4,0.413
DeepSkyBlue and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-014.mp4,2.59
Malibu and Dolly,temp_clips\Baby_Im_Back_IV\Scene-015.mp4,2.25
Malibu and Dolly,temp_clips\Baby_Im_Back_IV\Scene-016.mp4,0.548
Malibu and Dolly,temp_clips\Baby_Im_Back_IV\Scene-017.mp4,1.942
Pink and MintGreen,temp_clips\Baby_Im_Back_IV\Scene-018.mp4,2.723
Gray and Black,temp_clips\Baby_Im_Back_IV\Scene-019.mp4,0.369
Purple and Green,temp_clips\Baby_Im_Back_IV\Scene-020.mp4,1.186
Gray and Black,temp_clips\Baby_Im_Back_IV\Scene-021.mp4,1.852
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-022.mp4,2.153
Pink and MintGreen,temp_clips\Baby_Im_Back_IV\Scene-023.mp4,1.203
Gray and Malibu,temp_clips\Baby_Im_Back_IV\Scene-024.mp4,3.971
Black and Purple,temp_clips\Baby_Im_Back_IV\Scene-025.mp4,0.187
Black and Purple,temp_clips\Baby_Im_Back_IV\Scene-026.mp4,1.018
Gray,temp_clips\Baby_Im_Back_IV\Scene-027.mp4,2.641
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-028.mp4,1.724
Black and Green,temp_clips\Baby_Im_Back_IV\Scene-029.mp4,1.183
Gray and MintGreen,temp_clips\Baby_Im_Back_IV\Scene-030.mp4,2.453
Gray,temp_clips\Baby_Im_Back_IV\Scene-031.mp4,1.736
Gray and Black,temp_clips\Baby_Im_Back_IV\Scene-032.mp4,5.342
Gray and Lime,temp_clips\Baby_Im_Back_IV\Scene-033.mp4,3.253
White and Pink,temp_clips\Baby_Im_Back_IV\Scene-034.mp4,1.41
Navy and Gray,temp_clips\Baby_Im_Back_IV\Scene-035.mp4,0.705
Anakiwa and LightCoral,temp_clips\Baby_Im_Back_IV\Scene-036.mp4,1.653
White and Fuchsia,temp_clips\Baby_Im_Back_IV\Scene-037.mp4,3.71
Dolly and Anakiwa,temp_clips\Baby_Im_Back_IV\Scene-038.mp4,1.237
White and Gray,temp_clips\Baby_Im_Back_IV\Scene-039.mp4,1.883
Black and Green,temp_clips\Baby_Im_Back_IV\Scene-040.mp4,2.244
Gray and Violet,temp_clips\Baby_Im_Back_IV\Scene-041.mp4,2.911
Teal and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-042.mp4,2.446
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-043.mp4,2.146
Green and Purple,temp_clips\Baby_Im_Back_IV\Scene-044.mp4,2.844
Teal and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-045.mp4,0.379
Black and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-046.mp4,3.542
DarkRed and Violet,temp_clips\Baby_Im_Back_IV\Scene-047.mp4,1.816
Black and Blue,temp_clips\Baby_Im_Back_IV\Scene-048.mp4,5.355
Black and Teal,temp_clips\Baby_Im_Back_IV\Scene-049.mp4,4.892
Black and Malibu,temp_clips\Baby_Im_Back_IV\Scene-050.mp4,5.106
Black and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-051.mp4,0.187
Black and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-052.mp4,3.108
Black and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-053.mp4,2.257
Black and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-054.mp4,4.224
Black and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-055.mp4,4.014
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-056.mp4,0.916
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-057.mp4,5.216
Black and White,temp_clips\Baby_Im_Back_IV\Scene-058.mp4,0.104
Black and Blue,temp_clips\Baby_Im_Back_IV\Scene-059.mp4,5.344
Black and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-060.mp4,5.346
Black,temp_clips\Baby_Im_Back_IV\Scene-061.mp4,5.347
Black and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-062.mp4,4.839
Black and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-063.mp4,0.512
Black and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-064.mp4,5.352
Black and White,temp_clips\Baby_Im_Back_IV\Scene-065.mp4,3.008
Black and LightCoral,temp_clips\Baby_Im_Back_IV\Scene-066.mp4,0.911
Gray and LightCoral,temp_clips\Baby_Im_Back_IV\Scene-067.mp4,1.288
Black and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-068.mp4,2.713
Black and Rose,temp_clips\Baby_Im_Back_IV\Scene-069.mp4,0.846
Black and Rose,temp_clips\Baby_Im_Back_IV\Scene-070.mp4,1.939
Black and LightCoral,temp_clips\Baby_Im_Back_IV\Scene-071.mp4,3.742
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-072.mp4,1.352
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-073.mp4,3.384
Black and Teal,temp_clips\Baby_Im_Back_IV\Scene-074.mp4,1.756
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-075.mp4,5.362
Black and Teal,temp_clips\Baby_Im_Back_IV\Scene-076.mp4,4.179
Navy and Olive,temp_clips\Baby_Im_Back_IV\Scene-077.mp4,5.441
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-078.mp4,5.389
Black and White,temp_clips\Baby_Im_Back_IV\Scene-079.mp4,3.106
Navy and Olive,temp_clips\Baby_Im_Back_IV\Scene-080.mp4,2.209
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-081.mp4,3.606
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-082.mp4,1.743
Black and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-083.mp4,5.349
Navy and Olive,temp_clips\Baby_Im_Back_IV\Scene-084.mp4,4.144
Black and Olive,temp_clips\Baby_Im_Back_IV\Scene-085.mp4,0.215
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-086.mp4,3.242
Black,temp_clips\Baby_Im_Back_IV\Scene-087.mp4,1.91
Black,temp_clips\Baby_Im_Back_IV\Scene-088.mp4,5.488
Black and Gray,temp_clips\Baby_Im_Back_IV\Scene-089.mp4,5.356
Gray and White,temp_clips\Baby_Im_Back_IV\Scene-090.mp4,3.222
Black and Rose,temp_clips\Baby_Im_Back_IV\Scene-091.mp4,2.156
Gray and Black,temp_clips\Baby_Im_Back_IV\Scene-092.mp4,4.083
Gray and Black,temp_clips\Baby_Im_Back_IV\Scene-093.mp4,2.055
Gray and Rose,temp_clips\Baby_Im_Back_IV\Scene-094.mp4,3.085
Gray and Red,temp_clips\Baby_Im_Back_IV\Scene-095.mp4,0.178
Gray and Red,temp_clips\Baby_Im_Back_IV\Scene-096.mp4,5.444
Gray and Rose,temp_clips\Baby_Im_Back_IV\Scene-097.mp4,2.654
Navy and Black,temp_clips\Baby_Im_Back_IV\Scene-098.mp4,2.85
Navy and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-099.mp4,1.152
Purple and Navy,temp_clips\Baby_Im_Back_IV\Scene-100.mp4,4.22
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-101.mp4,5.38
Navy and DarkRed,temp_clips\Baby_Im_Back_IV\Scene-102.mp4,2.91
Black and Navy,temp_clips\Baby_Im_Back_IV\Scene-103.mp4,1.447
