color,fullpath,length
Black and DarkRed,temp_clips\Beep\Scene-001.mp4,4.481
Gray and Black,temp_clips\Beep\Scene-002.mp4,13.06
Gray and Black,temp_clips\Beep\Scene-003.mp4,13.55
Teal and DarkRed,temp_clips\Beep\Scene-004.mp4,5.205
Black and Teal,temp_clips\Beep\Scene-005.mp4,6.454
Teal and DarkRed,temp_clips\Beep\Scene-006.mp4,5.356
Teal and DarkRed,temp_clips\Beep\Scene-007.mp4,5.358
Black and Malibu,temp_clips\Beep\Scene-008.mp4,3.548
DarkRed and Teal,temp_clips\Beep\Scene-009.mp4,1.822
Black and Gray,temp_clips\Beep\Scene-010.mp4,5.362
Black and Gray,temp_clips\Beep\Scene-011.mp4,5.34
Teal and DarkRed,temp_clips\Beep\Scene-012.mp4,5.342
Black and Navy,temp_clips\Beep\Scene-013.mp4,5.344
Black and Navy,temp_clips\Beep\Scene-014.mp4,5.346
Black and Navy,temp_clips\Beep\Scene-015.mp4,10.688
Black and Navy,temp_clips\Beep\Scene-016.mp4,32.055
Black and DarkRed,temp_clips\Beep\Scene-017.mp4,21.362
Black,temp_clips\Beep\Scene-018.mp4,5.347
Black and DarkRed,temp_clips\Beep\Scene-019.mp4,10.691
Black and Navy,temp_clips\Beep\Scene-020.mp4,5.353
Black and Navy,temp_clips\Beep\Scene-021.mp4,21.378
Black and Navy,temp_clips\Beep\Scene-022.mp4,5.34
Black and Navy,temp_clips\Beep\Scene-023.mp4,5.342
Black and Gray,temp_clips\Beep\Scene-024.mp4,5.344
Black and Navy,temp_clips\Beep\Scene-025.mp4,5.346
Black,temp_clips\Beep\Scene-026.mp4,5.347
Black and White,temp_clips\Beep\Scene-027.mp4,5.35
Black,temp_clips\Beep\Scene-028.mp4,5.351
Black,temp_clips\Beep\Scene-029.mp4,5.353
Black and White,temp_clips\Beep\Scene-030.mp4,5.356
Black and White,temp_clips\Beep\Scene-031.mp4,5.357
Black and Navy,temp_clips\Beep\Scene-032.mp4,5.359
Black and Navy,temp_clips\Beep\Scene-033.mp4,5.361
Gray and Black,temp_clips\Beep\Scene-034.mp4,5.34
Gray and Black,temp_clips\Beep\Scene-035.mp4,5.341
Gray and Black,temp_clips\Beep\Scene-036.mp4,0.816
Black and Gray,temp_clips\Beep\Scene-037.mp4,4.543
Black and Gray,temp_clips\Beep\Scene-038.mp4,5.346
Black and Navy,temp_clips\Beep\Scene-039.mp4,5.347
Black and Navy,temp_clips\Beep\Scene-040.mp4,5.35
Black and Navy,temp_clips\Beep\Scene-041.mp4,5.351
Black and Gray,temp_clips\Beep\Scene-042.mp4,5.353
Black and Gray,temp_clips\Beep\Scene-043.mp4,5.356
Black and Navy,temp_clips\Beep\Scene-044.mp4,5.357
Black and Navy,temp_clips\Beep\Scene-045.mp4,5.359
Black and DarkRed,temp_clips\Beep\Scene-046.mp4,5.361
Black and DarkRed,temp_clips\Beep\Scene-047.mp4,5.34
Black and DarkRed,temp_clips\Beep\Scene-048.mp4,5.341
Black and White,temp_clips\Beep\Scene-049.mp4,5.344
Black and White,temp_clips\Beep\Scene-050.mp4,5.345
Teal and DarkRed,temp_clips\Beep\Scene-051.mp4,5.347
Teal and DarkRed,temp_clips\Beep\Scene-052.mp4,5.35
Black and DarkRed,temp_clips\Beep\Scene-053.mp4,21.373
Black and White,temp_clips\Beep\Scene-054.mp4,5.359
Black and DarkRed,temp_clips\Beep\Scene-055.mp4,5.361
Black,temp_clips\Beep\Scene-056.mp4,10.68
Black and Green,temp_clips\Beep\Scene-057.mp4,10.684
Black and Teal,temp_clips\Beep\Scene-058.mp4,5.347
Black,temp_clips\Beep\Scene-059.mp4,5.349
Navy and Green,temp_clips\Beep\Scene-060.mp4,5.351
Black and Teal,temp_clips\Beep\Scene-061.mp4,5.353
Black and Teal,temp_clips\Beep\Scene-062.mp4,5.355
Black and Navy,temp_clips\Beep\Scene-063.mp4,1.572
Black and Navy,temp_clips\Beep\Scene-064.mp4,14.47
Gray and Black,temp_clips\Beep\Scene-065.mp4,32.042
Black and DarkRed,temp_clips\Beep\Scene-066.mp4,35.049
White and Cyan,temp_clips\Beep\Scene-067.mp4,7.05
White and Cyan,temp_clips\Beep\Scene-068.mp4,15.103
