color,fullpath,length
Gray and Teal,temp_clips\Happy_Hounds\Scene-001.mp4,3.576
Black,temp_clips\Happy_Hounds\Scene-002.mp4,1.77
Black,temp_clips\Happy_Hounds\Scene-003.mp4,2.045
Black,temp_clips\Happy_Hounds\Scene-004.mp4,3.307
Black and Gray,temp_clips\Happy_Hounds\Scene-005.mp4,0.05
Gray and White,temp_clips\Happy_Hounds\Scene-006.mp4,2.803
Blue and Lime,temp_clips\Happy_Hounds\Scene-007.mp4,2.508
DeepSkyBlue and Dolly,temp_clips\Happy_Hounds\Scene-008.mp4,4.324
LightCoral and MintGreen,temp_clips\Happy_Hounds\Scene-009.mp4,1.042
LightCoral and MintGreen,temp_clips\Happy_Hounds\Scene-010.mp4,1.679
Black and White,temp_clips\Happy_Hounds\Scene-011.mp4,2.751
Gray and White,temp_clips\Happy_Hounds\Scene-012.mp4,0.944
Gray and Navy,temp_clips\Happy_Hounds\Scene-013.mp4,2.169
Black and Gray,temp_clips\Happy_Hounds\Scene-014.mp4,2.787
Gray and Black,temp_clips\Happy_Hounds\Scene-015.mp4,0.411
Gray and Black,temp_clips\Happy_Hounds\Scene-016.mp4,5.352
Gray,temp_clips\Happy_Hounds\Scene-017.mp4,0.547
Olive and Orange,temp_clips\Happy_Hounds\Scene-018.mp4,15.617
Gray and LightCoral,temp_clips\Happy_Hounds\Scene-019.mp4,4.715
Gray and LightCoral,temp_clips\Happy_Hounds\Scene-020.mp4,5.606
LightCoral and Olive,temp_clips\Happy_Hounds\Scene-021.mp4,3.554
Teal and DarkRed,temp_clips\Happy_Hounds\Scene-022.mp4,2.478
White and Teal,temp_clips\Happy_Hounds\Scene-023.mp4,3.005
White and Navy,temp_clips\Happy_Hounds\Scene-024.mp4,2.417
White and Navy,temp_clips\Happy_Hounds\Scene-025.mp4,2.08
Teal and DarkRed,temp_clips\Happy_Hounds\Scene-026.mp4,4.307
Gray and Black,temp_clips\Happy_Hounds\Scene-027.mp4,2.673
Purple and Green,temp_clips\Happy_Hounds\Scene-028.mp4,3.348
Olive,temp_clips\Happy_Hounds\Scene-029.mp4,2.588
Gray and DeepSkyBlue,temp_clips\Happy_Hounds\Scene-030.mp4,7.009
Black and Cyan,temp_clips\Happy_Hounds\Scene-031.mp4,4.251
Navy and Olive,temp_clips\Happy_Hounds\Scene-032.mp4,0.779
Navy and Olive,temp_clips\Happy_Hounds\Scene-033.mp4,0.035
Navy and Malibu,temp_clips\Happy_Hounds\Scene-034.mp4,2.812
Gray and Navy,temp_clips\Happy_Hounds\Scene-035.mp4,8.275
Black and Teal,temp_clips\Happy_Hounds\Scene-036.mp4,5.155
Teal and White,temp_clips\Happy_Hounds\Scene-037.mp4,6.378
Gray and Blue,temp_clips\Happy_Hounds\Scene-038.mp4,7.25
Teal and DarkRed,temp_clips\Happy_Hounds\Scene-039.mp4,6.628
Gray and White,temp_clips\Happy_Hounds\Scene-040.mp4,7.242
Teal and DarkRed,temp_clips\Happy_Hounds\Scene-041.mp4,3.485
DarkRed and DeepSkyBlue,temp_clips\Happy_Hounds\Scene-042.mp4,4.751
Black and Malibu,temp_clips\Happy_Hounds\Scene-043.mp4,0.709
Violet and Green,temp_clips\Happy_Hounds\Scene-044.mp4,4.514
Malibu and MintGreen,temp_clips\Happy_Hounds\Scene-045.mp4,0.845
Malibu,temp_clips\Happy_Hounds\Scene-046.mp4,2.17
Black and Anakiwa,temp_clips\Happy_Hounds\Scene-047.mp4,3.183
Black and Anakiwa,temp_clips\Happy_Hounds\Scene-048.mp4,0.57
Teal and Gray,temp_clips\Happy_Hounds\Scene-049.mp4,3.811
Malibu and Dolly,temp_clips\Happy_Hounds\Scene-050.mp4,5.092
