color,fullpath,length
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-001.mp4,4.899
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-002.mp4,4.431
Gray and Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-003.mp4,5.397
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-004.mp4,5.358
DarkRed and Teal,temp_clips\Kitbull___Pixar_SparkShorts\Scene-005.mp4,4.384
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-006.mp4,4.138
Black and LightCoral,temp_clips\Kitbull___Pixar_SparkShorts\Scene-007.mp4,4.675
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-008.mp4,5.484
DarkRed and Teal,temp_clips\Kitbull___Pixar_SparkShorts\Scene-009.mp4,5.384
DarkRed and Teal,temp_clips\Kitbull___Pixar_SparkShorts\Scene-010.mp4,5.345
Black and Purple,temp_clips\Kitbull___Pixar_SparkShorts\Scene-011.mp4,5.346
Black and Navy,temp_clips\Kitbull___Pixar_SparkShorts\Scene-012.mp4,5.349
Black and Navy,temp_clips\Kitbull___Pixar_SparkShorts\Scene-013.mp4,5.35
Black and Navy,temp_clips\Kitbull___Pixar_SparkShorts\Scene-014.mp4,5.143
Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-015.mp4,5.47
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-016.mp4,4.859
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-017.mp4,5.222
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-018.mp4,5.257
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-019.mp4,5.481
DarkRed and Teal,temp_clips\Kitbull___Pixar_SparkShorts\Scene-020.mp4,5.358
Gray and Black,temp_clips\Kitbull___Pixar_SparkShorts\Scene-021.mp4,4.733
Black and DarkRed,temp_clips\Kitbull___Pixar_SparkShorts\Scene-022.mp4,5.314
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-023.mp4,5.358
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-024.mp4,5.173
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-025.mp4,4.227
DarkRed and Teal,temp_clips\Kitbull___Pixar_SparkShorts\Scene-026.mp4,4.567
Black and Gray,temp_clips\Kitbull___Pixar_SparkShorts\Scene-027.mp4,5.431
DarkRed and Teal,temp_clips\Kitbull___Pixar_SparkShorts\Scene-028.mp4,5.349
DarkRed and Teal,temp_clips\Kitbull___Pixar_SparkShorts\Scene-029.mp4,4.724
