color,fullpath,length
Black and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-001.mp4,9.52
DarkRed and Teal,temp_clips\Knocking_Down_the_Fences\Scene-002.mp4,15.335
Gray and Teal,temp_clips\Knocking_Down_the_Fences\Scene-003.mp4,7.961
Gray and DeepSkyBlue,temp_clips\Knocking_Down_the_Fences\Scene-004.mp4,3.689
Black and Gray,temp_clips\Knocking_Down_the_Fences\Scene-005.mp4,4.547
Gray and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-006.mp4,1.75
Gray and Green,temp_clips\Knocking_Down_the_Fences\Scene-007.mp4,2.616
Gray and DeepSkyBlue,temp_clips\Knocking_Down_the_Fences\Scene-008.mp4,1.685
Gray and Green,temp_clips\Knocking_Down_the_Fences\Scene-009.mp4,4.173
Gray,temp_clips\Knocking_Down_the_Fences\Scene-010.mp4,3.671
Teal and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-011.mp4,6.758
Gray and LightCoral,temp_clips\Knocking_Down_the_Fences\Scene-012.mp4,10.025
Gray and Anakiwa,temp_clips\Knocking_Down_the_Fences\Scene-013.mp4,3.173
Gray and Violet,temp_clips\Knocking_Down_the_Fences\Scene-014.mp4,0.84
Gray and Malibu,temp_clips\Knocking_Down_the_Fences\Scene-015.mp4,4.509
Gray and Blue,temp_clips\Knocking_Down_the_Fences\Scene-016.mp4,5.346
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-017.mp4,5.348
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-018.mp4,5.35
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-019.mp4,5.352
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-020.mp4,0.756
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-021.mp4,4.619
Gray and Malibu,temp_clips\Knocking_Down_the_Fences\Scene-022.mp4,1.757
Gray and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-023.mp4,3.621
Gray and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-024.mp4,5.358
Gray and DarkRed,temp_clips\Knocking_Down_the_Fences\Scene-025.mp4,2.921
DarkRed and Teal,temp_clips\Knocking_Down_the_Fences\Scene-026.mp4,2.456
DarkRed and Teal,temp_clips\Knocking_Down_the_Fences\Scene-027.mp4,4.828
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-028.mp4,0.557
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-029.mp4,5.34
Gray and Black,temp_clips\Knocking_Down_the_Fences\Scene-030.mp4,0.14
DarkRed and Black,temp_clips\Knocking_Down_the_Fences\Scene-031.mp4,5.209
DarkRed and Black,temp_clips\Knocking_Down_the_Fences\Scene-032.mp4,2.488
