color,fullpath,length
Black and DarkRed,temp_clips\One_Way\Scene-001.mp4,5.34
Black and Navy,temp_clips\One_Way\Scene-002.mp4,10.683
Black and DeepSkyBlue,temp_clips\One_Way\Scene-003.mp4,5.346
Black and Navy,temp_clips\One_Way\Scene-004.mp4,5.348
Navy and Green,temp_clips\One_Way\Scene-005.mp4,5.35
Black and Navy,temp_clips\One_Way\Scene-006.mp4,5.352
Black and Navy,temp_clips\One_Way\Scene-007.mp4,5.353
Black and Blue,temp_clips\One_Way\Scene-008.mp4,5.356
Black and Navy,temp_clips\One_Way\Scene-009.mp4,5.358
Malibu and Black,temp_clips\One_Way\Scene-010.mp4,5.359
Black and Teal,temp_clips\One_Way\Scene-011.mp4,5.362
Black and Teal,temp_clips\One_Way\Scene-012.mp4,5.34
Navy and Green,temp_clips\One_Way\Scene-013.mp4,5.342
Navy and Green,temp_clips\One_Way\Scene-014.mp4,5.344
Navy and Green,temp_clips\One_Way\Scene-015.mp4,5.346
Navy and Green,temp_clips\One_Way\Scene-016.mp4,5.348
Navy and Green,temp_clips\One_Way\Scene-017.mp4,5.35
Teal and Black,temp_clips\One_Way\Scene-018.mp4,5.352
Black and DeepSkyBlue,temp_clips\One_Way\Scene-019.mp4,5.353
Black and Navy,temp_clips\One_Way\Scene-020.mp4,5.356
Black and Navy,temp_clips\One_Way\Scene-021.mp4,5.358
Navy and Green,temp_clips\One_Way\Scene-022.mp4,5.359
Black and Navy,temp_clips\One_Way\Scene-023.mp4,5.362
Black and Navy,temp_clips\One_Way\Scene-024.mp4,5.34
Black and Navy,temp_clips\One_Way\Scene-025.mp4,5.342
Black and Navy,temp_clips\One_Way\Scene-026.mp4,5.344
Black and Navy,temp_clips\One_Way\Scene-027.mp4,5.346
Black and Navy,temp_clips\One_Way\Scene-028.mp4,5.347
Black and Navy,temp_clips\One_Way\Scene-029.mp4,5.35
Teal and Black,temp_clips\One_Way\Scene-030.mp4,5.352
Black and DarkRed,temp_clips\One_Way\Scene-031.mp4,5.353
Black and DarkRed,temp_clips\One_Way\Scene-032.mp4,5.356
Navy and Black,temp_clips\One_Way\Scene-033.mp4,5.357
Black and DarkRed,temp_clips\One_Way\Scene-034.mp4,5.359
Black and DarkRed,temp_clips\One_Way\Scene-035.mp4,5.362
Black and Navy,temp_clips\One_Way\Scene-036.mp4,5.224
White and Cyan,temp_clips\One_Way\Scene-037.mp4,0.135
White and Cyan,temp_clips\One_Way\Scene-038.mp4,5.342
White and Cyan,temp_clips\One_Way\Scene-039.mp4,1.582
White and Cyan,temp_clips\One_Way\Scene-040.mp4,3.775
White and Gray,temp_clips\One_Way\Scene-041.mp4,5.346
White and Pink,temp_clips\One_Way\Scene-042.mp4,5.997
