,color,fullpath,length
0,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A008_01210855_C001_Proxy.mp4,436.833333
1,DarkRed and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_01210903_C002_Proxy.mp4,99.791667
2,Black and Olive,E:\CLOUD FILM MEDIA\PROXIES\A008_01210907_C003_Proxy.mp4,56.208333
3,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_01210909_C004_Proxy.mp4,269.208333
4,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_01210925_C005_Proxy.mp4,259.625
5,Gray,E:\CLOUD FILM MEDIA\PROXIES\A008_01210929_C006_Proxy.mp4,110.75
6,Gray and Green,E:\CLOUD FILM MEDIA\PROXIES\A008_01210931_C007_Proxy.mp4,352.791667
7,Gray,E:\CLOUD FILM MEDIA\PROXIES\A008_01210937_C008_Proxy.mp4,32.583333
8,LightCoral and MintGreen,E:\CLOUD FILM MEDIA\PROXIES\A008_01211116_C009_Proxy.mp4,10.083333
9,Navy and Olive,E:\CLOUD FILM MEDIA\PROXIES\A008_01211117_C010_Proxy.mp4,8.541667
10,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A008_01211122_C011_Proxy.mp4,9.333333
11,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A008_01211122_C012_Proxy.mp4,5.833333
12,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A008_01211122_C013_Proxy.mp4,5.791667
13,DarkRed and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_01211335_C014_Proxy.mp4,17.375
14,Dolly and Pink,E:\CLOUD FILM MEDIA\PROXIES\A008_01211335_C015_Proxy.mp4,6.708333
15,Gray and Yellow,E:\CLOUD FILM MEDIA\PROXIES\A008_01211437_C016_Proxy.mp4,55.75
16,Teal and Purple,E:\CLOUD FILM MEDIA\PROXIES\A008_01212023_C017_Proxy.mp4,3.583333
17,Teal and Purple,E:\CLOUD FILM MEDIA\PROXIES\A008_01212023_C018_Proxy.mp4,26.791667
18,Black and Olive,E:\CLOUD FILM MEDIA\PROXIES\A008_01212025_C019_Proxy.mp4,6.416667
19,Black and Olive,E:\CLOUD FILM MEDIA\PROXIES\A008_01212025_C020_Proxy.mp4,8.75
20,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A008_01212025_C021_Proxy.mp4,8.625
21,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A008_01212026_C022_Proxy.mp4,8.208333
22,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A008_01212026_C023_Proxy.mp4,19.208333
23,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A008_01212027_C024_Proxy.mp4,6.833333
24,Black and Navy,E:\CLOUD FILM MEDIA\PROXIES\A008_01212027_C025_Proxy.mp4,8.666667
25,Black,E:\CLOUD FILM MEDIA\PROXIES\A008_01212027_C026_Proxy.mp4,7.333333
26,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A008_01212028_C027_Proxy.mp4,3.333333
27,Navy and Lime,E:\CLOUD FILM MEDIA\PROXIES\A008_01212028_C028_Proxy.mp4,8.208333
28,Gray and Malibu,E:\CLOUD FILM MEDIA\PROXIES\A008_01212028_C029_Proxy.mp4,4.166667
