"(0, 0, 0)","(0, 0, 128)","(0, 0, 255)","(0, 128, 0)","(0, 128, 128)","(0, 128, 255)","(0, 255, 0)","(0, 255, 128)","(0, 255, 255)","(128, 0, 0)","(128, 0, 128)","(128, 0, 255)","(128, 128, 0)","(128, 128, 128)","(128, 128, 255)","(128, 255, 0)","(128, 255, 128)","(128, 255, 255)","(255, 0, 0)","(255, 0, 128)","(255, 0, 255)","(255, 128, 0)","(255, 128, 128)","(255, 128, 255)","(255, 255, 0)","(255, 255, 128)","(255, 255, 255)",end_frame,end_time,img_path,length,middle_frame,start_frame,start_time,filename,object_id_00,object_id_01,object_id_02,object_id_03,object_id_04,object_id_05,object_id_06,object_id_07,object_id_08,object_id_09,object_id_10,object_id_11,object_id_12,object_id_13,object_id_14,object_id_15,object_id_16,object_id_17,object_id_18,object_id_19,object_id_20,object_id_21,object_id_22,object_id_23,object_id_24,object_id_25,object_id_26,object_id_27,object_id_28,object_id_29,object_id_30,object_id_31,object_id_32,object_id_33,object_id_34,object_id_35,object_id_36,object_id_37,object_id_38,object_id_39,object_id_40,object_id_41,object_id_42,object_id_43,object_id_44,object_id_45,object_id_46,object_id_47,object_id_48,object_id_49,object_id_50,object_id_51,object_id_52,object_id_53,object_id_54,object_id_55,object_id_56,object_id_57,object_id_58,object_id_59,object_id_60,object_id_61,object_id_62,object_id_63,object_id_64,object_id_65,object_id_66,object_id_67,object_id_68,object_id_69,object_id_70,object_id_71,object_id_72,object_id_73,object_id_74,object_id_75,object_id_76,object_id_77,object_id_78,object_id_79,object_labels
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5905.815584,5930.41952,4407.101139,5669.845837,5694.449773,4171.131393,4230.030411,4254.634348,2731.315967,4609.848286,4634.452222,3111.133841,4373.878539,4398.482475,2875.164095,2934.063114,2958.66705,1435.348669,3360.937382,3385.541318,1862.222938,3124.967635,3149.571572,1626.253191,1685.15221,1709.756146,186.4377652,248,9.92,temp_imgs\Tove Styrke Borderline\0000.png,00:09.9,124,0,0,C:\Users\Simon\git\Machine-Learning-And-Art\dataset_generator\temp_imgs\Tove Styrke Borderline\0000.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[]
8581.214067,6243.481168,5720.322019,6546.065316,4208.332417,3685.173268,5898.885628,3561.15273,3037.993581,6358.493398,4020.7605,3497.601351,4323.344648,1985.611749,1462.4526,3676.16496,1338.432061,815.2729124,5733.674685,3395.941787,2872.782638,3698.525934,1360.793036,837.6338869,3051.346247,713.6133482,190.4541994,454,18.16,temp_imgs\Tove Styrke Borderline\0001.png,00:08.2,351,248,9.92,C:\Users\Simon\git\Machine-Learning-And-Art\dataset_generator\temp_imgs\Tove Styrke Borderline\0001.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"['book', 'chair', 'cup', 'apple', 'diningtable', 'bowl']"
7980.485897,5929.577075,5676.689493,5980.634916,3929.726094,3676.838512,5824.505307,3773.596485,3520.708904,5968.447584,3917.538762,3664.651181,3968.596603,1917.687781,1664.8002,3812.466995,1761.558173,1508.670592,5806.130246,3755.221424,3502.333842,3806.279265,1755.370443,1502.482861,3650.149657,1599.240835,1346.353253,485,19.4,temp_imgs\Tove Styrke Borderline\0002.png,00:01.2,469,454,18.16,C:\Users\Simon\git\Machine-Learning-And-Art\dataset_generator\temp_imgs\Tove Styrke Borderline\0002.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['dog', 'person']"
5748.083513,7215.185335,4552.06897,6578.640432,8045.742254,5382.625889,4392.849508,5859.95133,3196.834965,2880.773676,4347.875498,1684.759133,3711.330595,5178.432418,2515.316053,1525.539671,2992.641493,329.5251281,2563.313414,4030.415236,1367.298871,3393.870333,4860.972155,2197.85579,1208.079408,2675.181231,12.06486572,677,27.08,temp_imgs\Tove Styrke Borderline\0003.png,00:07.7,581,485,19.4,C:\Users\Simon\git\Machine-Learning-And-Art\dataset_generator\temp_imgs\Tove Styrke Borderline\0003.png,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['car', 'truck']"
10297.76134,7225.222723,6892.81257,7262.661815,4190.123202,3857.713049,6920.091441,3847.552828,3515.142675,7183.64612,4111.107508,3778.697354,4148.546599,1076.007987,743.5978331,3805.976225,733.4376125,401.027459,6834.094307,3761.555695,3429.145541,3798.994786,726.4561739,394.0460203,3456.424412,383.8857998,51.47564622,790,31.6,temp_imgs\Tove Styrke Borderline\0004.png,00:04.5,733,677,27.08,C:\Users\Simon\git\Machine-Learning-And-Art\dataset_generator\temp_imgs\Tove Styrke Borderline\0004.png,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,['person']
