fullpath,length,objects
temp_clips\Baby_Im_Back_IV\Scene-001.mp4,3.251,[]
temp_clips\Baby_Im_Back_IV\Scene-002.mp4,2.103,"['person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-003.mp4,4.947,"['clock', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-004.mp4,3.051,['person']
temp_clips\Baby_Im_Back_IV\Scene-005.mp4,1.687,['person']
temp_clips\Baby_Im_Back_IV\Scene-006.mp4,2.015,['person']
temp_clips\Baby_Im_Back_IV\Scene-007.mp4,3.31,"['skateboard', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'person', 'truck']"
temp_clips\Baby_Im_Back_IV\Scene-008.mp4,2.608,"['person', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-009.mp4,2.489,"['person', 'fork']"
temp_clips\Baby_Im_Back_IV\Scene-010.mp4,0.856,['teddy bear']
temp_clips\Baby_Im_Back_IV\Scene-011.mp4,3.946,"['handbag', 'backpack', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-012.mp4,4.723,[]
temp_clips\Baby_Im_Back_IV\Scene-013.mp4,0.413,['traffic light']
temp_clips\Baby_Im_Back_IV\Scene-014.mp4,2.59,[]
temp_clips\Baby_Im_Back_IV\Scene-015.mp4,2.25,[]
temp_clips\Baby_Im_Back_IV\Scene-016.mp4,0.548,[]
temp_clips\Baby_Im_Back_IV\Scene-017.mp4,1.942,[]
temp_clips\Baby_Im_Back_IV\Scene-018.mp4,2.723,['vase']
temp_clips\Baby_Im_Back_IV\Scene-019.mp4,0.369,[]
temp_clips\Baby_Im_Back_IV\Scene-020.mp4,1.186,[]
temp_clips\Baby_Im_Back_IV\Scene-021.mp4,1.852,[]
temp_clips\Baby_Im_Back_IV\Scene-022.mp4,2.153,[]
temp_clips\Baby_Im_Back_IV\Scene-023.mp4,1.203,[]
temp_clips\Baby_Im_Back_IV\Scene-024.mp4,3.971,[]
temp_clips\Baby_Im_Back_IV\Scene-025.mp4,0.187,['pizza']
temp_clips\Baby_Im_Back_IV\Scene-026.mp4,1.018,['diningtable']
temp_clips\Baby_Im_Back_IV\Scene-027.mp4,2.641,[]
temp_clips\Baby_Im_Back_IV\Scene-028.mp4,1.724,"['tie', 'person']"
temp_clips\Baby_Im_Back_IV\Scene-029.mp4,1.183,['person']
temp_clips\Baby_Im_Back_IV\Scene-030.mp4,2.453,[]
temp_clips\Baby_Im_Back_IV\Scene-031.mp4,1.736,['dog']
temp_clips\Baby_Im_Back_IV\Scene-032.mp4,5.342,[]
temp_clips\Baby_Im_Back_IV\Scene-033.mp4,3.253,[]
temp_clips\Baby_Im_Back_IV\Scene-034.mp4,1.41,[]
temp_clips\Baby_Im_Back_IV\Scene-035.mp4,0.705,[]
temp_clips\Baby_Im_Back_IV\Scene-036.mp4,1.653,['chair']
temp_clips\Baby_Im_Back_IV\Scene-037.mp4,3.71,[]
temp_clips\Baby_Im_Back_IV\Scene-038.mp4,1.237,[]
temp_clips\Baby_Im_Back_IV\Scene-039.mp4,1.883,[]
temp_clips\Baby_Im_Back_IV\Scene-040.mp4,2.244,"['tvmonitor', 'tvmonitor']"
temp_clips\Baby_Im_Back_IV\Scene-041.mp4,2.911,[]
temp_clips\Baby_Im_Back_IV\Scene-042.mp4,2.446,['person']
temp_clips\Baby_Im_Back_IV\Scene-043.mp4,2.146,"['vase', 'vase']"
temp_clips\Baby_Im_Back_IV\Scene-044.mp4,2.844,"['scissors', 'vase']"
temp_clips\Baby_Im_Back_IV\Scene-045.mp4,0.379,['bus']
temp_clips\Baby_Im_Back_IV\Scene-046.mp4,3.542,"['vase', 'vase']"
temp_clips\Baby_Im_Back_IV\Scene-047.mp4,1.816,[]
temp_clips\Baby_Im_Back_IV\Scene-048.mp4,5.355,[]
temp_clips\Baby_Im_Back_IV\Scene-049.mp4,4.892,['bird']
temp_clips\Baby_Im_Back_IV\Scene-050.mp4,5.106,[]
temp_clips\Baby_Im_Back_IV\Scene-051.mp4,0.187,[]
temp_clips\Baby_Im_Back_IV\Scene-052.mp4,3.108,['person']
temp_clips\Baby_Im_Back_IV\Scene-053.mp4,2.257,[]
temp_clips\Baby_Im_Back_IV\Scene-054.mp4,4.224,[]
