color,fullpath,length
White and Red,temp_clips\Congratulations\Scene-001.mp4,2.043
Violet and Green,temp_clips\Congratulations\Scene-002.mp4,2.811
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-003.mp4,0.507
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-004.mp4,1.842
Malibu and DarkRed,temp_clips\Congratulations\Scene-005.mp4,2.632
Yellow,temp_clips\Congratulations\Scene-006.mp4,1.469
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-007.mp4,1.126
Malibu,temp_clips\Congratulations\Scene-008.mp4,2.927
Anakiwa and Orange,temp_clips\Congratulations\Scene-009.mp4,1.589
Anakiwa and Orange,temp_clips\Congratulations\Scene-010.mp4,2.676
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-011.mp4,1.147
Malibu and DarkRed,temp_clips\Congratulations\Scene-012.mp4,2.971
DarkRed and Teal,temp_clips\Congratulations\Scene-013.mp4,2.381
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-014.mp4,3.187
Malibu and DarkRed,temp_clips\Congratulations\Scene-015.mp4,1.808
Malibu and Chartreuse,temp_clips\Congratulations\Scene-016.mp4,1.55
DarkRed,temp_clips\Congratulations\Scene-017.mp4,1.587
Violet and Lime,temp_clips\Congratulations\Scene-018.mp4,1.931
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-019.mp4,2.266
Chartreuse and Pink,temp_clips\Congratulations\Scene-020.mp4,1.224
Black and Olive,temp_clips\Congratulations\Scene-021.mp4,0.968
Violet and Green,temp_clips\Congratulations\Scene-022.mp4,1.17
Black and Olive,temp_clips\Congratulations\Scene-023.mp4,1.095
Anakiwa,temp_clips\Congratulations\Scene-024.mp4,1.102
Anakiwa and Green,temp_clips\Congratulations\Scene-025.mp4,1.296
Cyan and DarkRed,temp_clips\Congratulations\Scene-026.mp4,0.887
Anakiwa and Pink,temp_clips\Congratulations\Scene-027.mp4,1.684
White,temp_clips\Congratulations\Scene-028.mp4,1.341
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-029.mp4,2.469
White and DarkRed,temp_clips\Congratulations\Scene-030.mp4,1.427
Anakiwa and Green,temp_clips\Congratulations\Scene-031.mp4,1.125
MintGreen,temp_clips\Congratulations\Scene-032.mp4,1.625
Yellow,temp_clips\Congratulations\Scene-033.mp4,1.927
Black and Malibu,temp_clips\Congratulations\Scene-034.mp4,2.356
Malibu and DarkRed,temp_clips\Congratulations\Scene-035.mp4,0.812
Malibu and DarkRed,temp_clips\Congratulations\Scene-036.mp4,1.878
Anakiwa and Fuchsia,temp_clips\Congratulations\Scene-037.mp4,2.72
Malibu,temp_clips\Congratulations\Scene-038.mp4,0.847
Malibu and Yellow,temp_clips\Congratulations\Scene-039.mp4,1.175
White and DarkRed,temp_clips\Congratulations\Scene-040.mp4,1.726
Malibu and Red,temp_clips\Congratulations\Scene-041.mp4,1.806
Violet and Green,temp_clips\Congratulations\Scene-042.mp4,0.711
Violet and Green,temp_clips\Congratulations\Scene-043.mp4,1.257
Yellow,temp_clips\Congratulations\Scene-044.mp4,2.84
Purple and Green,temp_clips\Congratulations\Scene-045.mp4,1.841
White and Black,temp_clips\Congratulations\Scene-046.mp4,2.004
Gray and Red,temp_clips\Congratulations\Scene-047.mp4,1.351
Purple and Orange,temp_clips\Congratulations\Scene-048.mp4,1.481
White and Black,temp_clips\Congratulations\Scene-049.mp4,1.184
Olive and Blue,temp_clips\Congratulations\Scene-050.mp4,2.222
Malibu and Red,temp_clips\Congratulations\Scene-051.mp4,0.548
Black and Malibu,temp_clips\Congratulations\Scene-052.mp4,2.143
Black and DarkRed,temp_clips\Congratulations\Scene-053.mp4,1.132
Violet and Green,temp_clips\Congratulations\Scene-054.mp4,1.354
Violet and Green,temp_clips\Congratulations\Scene-055.mp4,0.764
DarkRed and DeepSkyBlue,temp_clips\Congratulations\Scene-056.mp4,3.218
