color,fullpath,length
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-001.mp4,5.34
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-002.mp4,5.342
Black,temp_clips\Do_Not_Disturb\Scene-003.mp4,5.345
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-004.mp4,5.346
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-005.mp4,10.688
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-006.mp4,5.352
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-007.mp4,10.694
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-008.mp4,5.358
Black and Gray,temp_clips\Do_Not_Disturb\Scene-009.mp4,5.359
Black and Gray,temp_clips\Do_Not_Disturb\Scene-010.mp4,5.362
Black and Teal,temp_clips\Do_Not_Disturb\Scene-011.mp4,5.34
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-012.mp4,5.342
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-013.mp4,5.344
Black and White,temp_clips\Do_Not_Disturb\Scene-014.mp4,5.346
Black and White,temp_clips\Do_Not_Disturb\Scene-015.mp4,5.348
Black and Yellow,temp_clips\Do_Not_Disturb\Scene-016.mp4,5.35
Black and Gray,temp_clips\Do_Not_Disturb\Scene-017.mp4,5.352
Black and Gray,temp_clips\Do_Not_Disturb\Scene-018.mp4,5.353
Black,temp_clips\Do_Not_Disturb\Scene-019.mp4,5.356
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-020.mp4,5.358
Black,temp_clips\Do_Not_Disturb\Scene-021.mp4,5.359
Black,temp_clips\Do_Not_Disturb\Scene-022.mp4,5.362
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-023.mp4,5.34
Black and Malibu,temp_clips\Do_Not_Disturb\Scene-024.mp4,5.342
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-025.mp4,5.344
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-026.mp4,5.346
Black and White,temp_clips\Do_Not_Disturb\Scene-027.mp4,5.347
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-028.mp4,5.35
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-029.mp4,5.352
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-030.mp4,5.353
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-031.mp4,5.356
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-032.mp4,5.357
Black and Yellow,temp_clips\Do_Not_Disturb\Scene-033.mp4,5.359
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-034.mp4,5.362
Black and Green,temp_clips\Do_Not_Disturb\Scene-035.mp4,5.34
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-036.mp4,5.342
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-037.mp4,5.344
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-038.mp4,5.346
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-039.mp4,5.347
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-040.mp4,5.35
Black,temp_clips\Do_Not_Disturb\Scene-041.mp4,5.351
Black and Red,temp_clips\Do_Not_Disturb\Scene-042.mp4,5.353
Black and DarkRed,temp_clips\Do_Not_Disturb\Scene-043.mp4,5.356
Black and Green,temp_clips\Do_Not_Disturb\Scene-044.mp4,5.357
Black and Gray,temp_clips\Do_Not_Disturb\Scene-045.mp4,5.359
Black and Gray,temp_clips\Do_Not_Disturb\Scene-046.mp4,4.549
White and Cyan,temp_clips\Do_Not_Disturb\Scene-047.mp4,0.823
White,temp_clips\Do_Not_Disturb\Scene-048.mp4,5.34
White and Cyan,temp_clips\Do_Not_Disturb\Scene-049.mp4,0.906
White and Cyan,temp_clips\Do_Not_Disturb\Scene-050.mp4,4.44
White and Pink,temp_clips\Do_Not_Disturb\Scene-051.mp4,5.344
White and Pink,temp_clips\Do_Not_Disturb\Scene-052.mp4,5.322
