fullpath,length,objects
temp_clips\Happy_Hounds\Scene-001.mp4,3.576,['bicycle']
temp_clips\Happy_Hounds\Scene-002.mp4,1.77,"['car', 'person']"
temp_clips\Happy_Hounds\Scene-003.mp4,2.045,['car']
temp_clips\Happy_Hounds\Scene-004.mp4,3.307,['person']
temp_clips\Happy_Hounds\Scene-005.mp4,0.05,['person']
temp_clips\Happy_Hounds\Scene-006.mp4,2.803,"['car', 'person']"
temp_clips\Happy_Hounds\Scene-007.mp4,2.508,['car']
temp_clips\Happy_Hounds\Scene-008.mp4,4.324,['car']
temp_clips\Happy_Hounds\Scene-009.mp4,1.042,[]
temp_clips\Happy_Hounds\Scene-010.mp4,1.679,[]
temp_clips\Happy_Hounds\Scene-011.mp4,2.751,[]
temp_clips\Happy_Hounds\Scene-012.mp4,0.944,"['kite', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'person', 'car', 'car', 'truck', 'dog', 'stop sign']"
temp_clips\Happy_Hounds\Scene-013.mp4,2.169,"['kite', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'car', 'person', 'car', 'car', 'car', 'truck', 'dog', 'stop sign']"
temp_clips\Happy_Hounds\Scene-014.mp4,2.787,"['tvmonitor', 'bottle', 'person']"
temp_clips\Happy_Hounds\Scene-015.mp4,0.411,"['dog', 'person']"
temp_clips\Happy_Hounds\Scene-016.mp4,5.352,"['dog', 'parking meter', 'person']"
temp_clips\Happy_Hounds\Scene-017.mp4,0.547,"['parking meter', 'person']"
temp_clips\Happy_Hounds\Scene-018.mp4,15.617,['baseball bat']
temp_clips\Happy_Hounds\Scene-019.mp4,4.715,[]
temp_clips\Happy_Hounds\Scene-020.mp4,5.606,[]
temp_clips\Happy_Hounds\Scene-021.mp4,3.554,[]
temp_clips\Happy_Hounds\Scene-022.mp4,2.478,['person']
temp_clips\Happy_Hounds\Scene-023.mp4,3.005,"['truck', 'kite', 'person']"
temp_clips\Happy_Hounds\Scene-024.mp4,2.417,['person']
temp_clips\Happy_Hounds\Scene-025.mp4,2.08,[]
temp_clips\Happy_Hounds\Scene-026.mp4,4.307,"['person', 'person', 'person', 'person']"
temp_clips\Happy_Hounds\Scene-027.mp4,2.673,['fire hydrant']
temp_clips\Happy_Hounds\Scene-028.mp4,3.348,['chair']
temp_clips\Happy_Hounds\Scene-029.mp4,2.588,['pottedplant']
temp_clips\Happy_Hounds\Scene-030.mp4,7.009,"['refrigerator', 'chair', 'bottle']"
temp_clips\Happy_Hounds\Scene-031.mp4,4.251,"['bowl', 'bowl']"
temp_clips\Happy_Hounds\Scene-032.mp4,0.779,"['bowl', 'bowl']"
temp_clips\Happy_Hounds\Scene-033.mp4,0.035,['book']
temp_clips\Happy_Hounds\Scene-034.mp4,2.812,['book']
temp_clips\Happy_Hounds\Scene-035.mp4,8.275,"['dog', 'bench', 'person']"
temp_clips\Happy_Hounds\Scene-036.mp4,5.155,"['tvmonitor', 'dog', 'person']"
temp_clips\Happy_Hounds\Scene-037.mp4,6.378,['person']
temp_clips\Happy_Hounds\Scene-038.mp4,7.25,"['refrigerator', 'person']"
temp_clips\Happy_Hounds\Scene-039.mp4,6.628,['dog']
temp_clips\Happy_Hounds\Scene-040.mp4,7.242,['person']
