color,fullpath,length
Black and LightCoral,temp_clips\Paddle_Together\Scene-001.mp4,5.34
Black and LightCoral,temp_clips\Paddle_Together\Scene-002.mp4,5.342
Gray and Black,temp_clips\Paddle_Together\Scene-003.mp4,8.131
Olive and Violet,temp_clips\Paddle_Together\Scene-004.mp4,8.916
Green and Purple,temp_clips\Paddle_Together\Scene-005.mp4,2.817
Green and Purple,temp_clips\Paddle_Together\Scene-006.mp4,2.522
Gray and Violet,temp_clips\Paddle_Together\Scene-007.mp4,2.503
White,temp_clips\Paddle_Together\Scene-008.mp4,1.882
White,temp_clips\Paddle_Together\Scene-009.mp4,3.775
White,temp_clips\Paddle_Together\Scene-010.mp4,1.583
White,temp_clips\Paddle_Together\Scene-011.mp4,1.339
Purple and Green,temp_clips\Paddle_Together\Scene-012.mp4,4.021
Gray and Black,temp_clips\Paddle_Together\Scene-013.mp4,1.689
Anakiwa and LightCoral,temp_clips\Paddle_Together\Scene-014.mp4,1.321
Black,temp_clips\Paddle_Together\Scene-015.mp4,1.25
DarkRed and White,temp_clips\Paddle_Together\Scene-016.mp4,1.154
DarkRed and Cyan,temp_clips\Paddle_Together\Scene-017.mp4,0.506
White and Black,temp_clips\Paddle_Together\Scene-018.mp4,1.725
Green and Purple,temp_clips\Paddle_Together\Scene-019.mp4,3.157
Green and Navy,temp_clips\Paddle_Together\Scene-020.mp4,5.362
Green and Purple,temp_clips\Paddle_Together\Scene-021.mp4,5.34
Green and Purple,temp_clips\Paddle_Together\Scene-022.mp4,0.442
White and Green,temp_clips\Paddle_Together\Scene-023.mp4,2.842
Black and Green,temp_clips\Paddle_Together\Scene-024.mp4,2.072
Black and Green,temp_clips\Paddle_Together\Scene-025.mp4,2.303
Gray and Purple,temp_clips\Paddle_Together\Scene-026.mp4,2.809
Green and Purple,temp_clips\Paddle_Together\Scene-027.mp4,0.239
Green and Purple,temp_clips\Paddle_Together\Scene-028.mp4,5.346
Green and Purple,temp_clips\Paddle_Together\Scene-029.mp4,2.004
Gray and Violet,temp_clips\Paddle_Together\Scene-030.mp4,5.273
Black and Green,temp_clips\Paddle_Together\Scene-031.mp4,3.182
Green and Purple,temp_clips\Paddle_Together\Scene-032.mp4,5.586
Gray and Green,temp_clips\Paddle_Together\Scene-033.mp4,5.353
Gray and Green,temp_clips\Paddle_Together\Scene-034.mp4,0.503
DarkRed and Lime,temp_clips\Paddle_Together\Scene-035.mp4,4.019
Teal and DarkRed,temp_clips\Paddle_Together\Scene-036.mp4,0.851
Green and Purple,temp_clips\Paddle_Together\Scene-037.mp4,3.175
Purple and Green,temp_clips\Paddle_Together\Scene-038.mp4,1.444
Green and Navy,temp_clips\Paddle_Together\Scene-039.mp4,0.753
Black and Green,temp_clips\Paddle_Together\Scene-040.mp4,0.808
White and Cyan,temp_clips\Paddle_Together\Scene-041.mp4,4.559
White and Gray,temp_clips\Paddle_Together\Scene-042.mp4,0.857
White and Lime,temp_clips\Paddle_Together\Scene-043.mp4,4.527
Anakiwa and Lime,temp_clips\Paddle_Together\Scene-044.mp4,0.65
Black and White,temp_clips\Paddle_Together\Scene-045.mp4,3.406
Black and Olive,temp_clips\Paddle_Together\Scene-046.mp4,1.303
Black and Gray,temp_clips\Paddle_Together\Scene-047.mp4,4.32
Gray and Black,temp_clips\Paddle_Together\Scene-048.mp4,1.038
Olive and Navy,temp_clips\Paddle_Together\Scene-049.mp4,2.186
DarkRed,temp_clips\Paddle_Together\Scene-050.mp4,3.175
DarkRed,temp_clips\Paddle_Together\Scene-051.mp4,1.352
Purple and Green,temp_clips\Paddle_Together\Scene-052.mp4,3.477
Black and White,temp_clips\Paddle_Together\Scene-053.mp4,0.541
Black,temp_clips\Paddle_Together\Scene-054.mp4,2.84
Black and Teal,temp_clips\Paddle_Together\Scene-055.mp4,2.511
Black and Teal,temp_clips\Paddle_Together\Scene-056.mp4,3.214
Gray and Black,temp_clips\Paddle_Together\Scene-057.mp4,2.146
LightCoral and Gray,temp_clips\Paddle_Together\Scene-058.mp4,2.705
Cyan and DarkRed,temp_clips\Paddle_Together\Scene-059.mp4,2.649
Cyan and DarkRed,temp_clips\Paddle_Together\Scene-060.mp4,5.353
Cyan and DarkRed,temp_clips\Paddle_Together\Scene-061.mp4,3.777
DarkRed and Teal,temp_clips\Paddle_Together\Scene-062.mp4,1.585
DarkRed and Teal,temp_clips\Paddle_Together\Scene-063.mp4,1.944
Gray and Green,temp_clips\Paddle_Together\Scene-064.mp4,2.192
Gray and Black,temp_clips\Paddle_Together\Scene-065.mp4,2.414
Olive,temp_clips\Paddle_Together\Scene-066.mp4,3.471
DarkRed,temp_clips\Paddle_Together\Scene-067.mp4,2.904
Gray and Black,temp_clips\Paddle_Together\Scene-068.mp4,1.51
Black and DarkRed,temp_clips\Paddle_Together\Scene-069.mp4,3.12
Gray and Black,temp_clips\Paddle_Together\Scene-070.mp4,2.92
Navy and Olive,temp_clips\Paddle_Together\Scene-071.mp4,2.803
Green and Purple,temp_clips\Paddle_Together\Scene-072.mp4,3.507
Green and Purple,temp_clips\Paddle_Together\Scene-073.mp4,0.12
Gray and Black,temp_clips\Paddle_Together\Scene-074.mp4,3.41
DarkRed,temp_clips\Paddle_Together\Scene-075.mp4,1.84
DarkRed,temp_clips\Paddle_Together\Scene-076.mp4,5.346
Anakiwa and Red,temp_clips\Paddle_Together\Scene-077.mp4,0.471
Gray and Black,temp_clips\Paddle_Together\Scene-078.mp4,1.049
DarkRed and Teal,temp_clips\Paddle_Together\Scene-079.mp4,3.103
Yellow and Violet,temp_clips\Paddle_Together\Scene-080.mp4,0.743
White and DarkRed,temp_clips\Paddle_Together\Scene-081.mp4,2.308
White and Olive,temp_clips\Paddle_Together\Scene-082.mp4,3.047
White and Olive,temp_clips\Paddle_Together\Scene-083.mp4,5.351
Anakiwa and LightCoral,temp_clips\Paddle_Together\Scene-084.mp4,0.5
Gray and Black,temp_clips\Paddle_Together\Scene-085.mp4,4.273
Black and DarkRed,temp_clips\Paddle_Together\Scene-086.mp4,0.582
Black and DarkRed,temp_clips\Paddle_Together\Scene-087.mp4,2.105
Anakiwa and Orange,temp_clips\Paddle_Together\Scene-088.mp4,3.021
Purple,temp_clips\Paddle_Together\Scene-089.mp4,0.251
DarkRed,temp_clips\Paddle_Together\Scene-090.mp4,3.175
Navy and Olive,temp_clips\Paddle_Together\Scene-091.mp4,2.187
Black and LightCoral,temp_clips\Paddle_Together\Scene-092.mp4,3.85
DeepSkyBlue and Chartreuse,temp_clips\Paddle_Together\Scene-093.mp4,1.522
Cyan and Orange,temp_clips\Paddle_Together\Scene-094.mp4,2.621
Gray and Black,temp_clips\Paddle_Together\Scene-095.mp4,1.714
Black and Olive,temp_clips\Paddle_Together\Scene-096.mp4,1.056
Black and Gray,temp_clips\Paddle_Together\Scene-097.mp4,5.34
Gray and Black,temp_clips\Paddle_Together\Scene-098.mp4,4.807
Gray and Teal,temp_clips\Paddle_Together\Scene-099.mp4,0.537
Gray,temp_clips\Paddle_Together\Scene-100.mp4,5.344
Gray,temp_clips\Paddle_Together\Scene-101.mp4,5.346
Gray,temp_clips\Paddle_Together\Scene-102.mp4,0.378
White and Cyan,temp_clips\Paddle_Together\Scene-103.mp4,12.225
White and Cyan,temp_clips\Paddle_Together\Scene-104.mp4,15.106
