fullpath,length,objects
temp_clips\2001_A_SPACE_ODYSSEY\Scene-001.mp4,178.197,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-002.mp4,17.811,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-003.mp4,0.962,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-004.mp4,3.01,"['cake', 'frisbee', 'diningtable']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-005.mp4,2.674,"['cake', 'diningtable', 'frisbee']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-006.mp4,4.719,['frisbee']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-007.mp4,4.764,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-008.mp4,4.723,"['bowl', 'frisbee']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-009.mp4,23.285,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-010.mp4,56.311,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-011.mp4,5.509,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-012.mp4,4.483,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-013.mp4,4.756,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-014.mp4,5.847,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-015.mp4,11.57,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-016.mp4,6.843,['person']
temp_clips\2001_A_SPACE_ODYSSEY\Scene-017.mp4,5.315,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-018.mp4,10.024,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-019.mp4,14.947,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-020.mp4,4.132,"['cow', 'bird']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-021.mp4,7.897,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-022.mp4,7.395,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-023.mp4,5.304,"['cow', 'cow', 'cow', 'sheep', 'cow', 'sheep', 'sheep', 'sheep']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-024.mp4,8.945,"['bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-025.mp4,4.564,"['bear', 'sheep', 'sheep', 'sheep', 'sheep', 'sheep', 'cow', 'cow', 'cow', 'sheep']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-026.mp4,6.652,"['bear', 'bear', 'person', 'bear', 'dog']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-027.mp4,20.032,"['bear', 'bear', 'bear', 'sheep', 'bear', 'sheep', 'sheep']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-028.mp4,7.777,"['bear', 'bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-029.mp4,6.718,"['bear', 'bear', 'bear', 'sheep']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-030.mp4,7.021,"['cow', 'cow', 'cow', 'sheep', 'sheep', 'cow', 'sheep']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-031.mp4,10.02,"['bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-032.mp4,5.812,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-033.mp4,6.265,[]
temp_clips\2001_A_SPACE_ODYSSEY\Scene-034.mp4,5.513,"['bear', 'bear', 'bear', 'bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-035.mp4,4.595,"['bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-036.mp4,2.759,"['bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-037.mp4,10.011,"['bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-038.mp4,1.644,"['bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-039.mp4,3.771,"['bear', 'bear', 'bear', 'bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-040.mp4,4.605,"['bear', 'bear', 'bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-041.mp4,15.526,"['bear', 'bear', 'bear', 'bear']"
temp_clips\2001_A_SPACE_ODYSSEY\Scene-042.mp4,10.016,"['bear', 'bear', 'bear', 'bear', 'bear', 'bear', 'person', 'person']"
