color,fullpath,length
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-001.mp4,4.01
Purple and Green,temp_clips\TRUMAN SHOW HR\Scene-002.mp4,24.028
Purple and DeepSkyBlue,temp_clips\TRUMAN SHOW HR\Scene-003.mp4,4.014
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-004.mp4,4.021
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-005.mp4,4.006
Black and Gray,temp_clips\TRUMAN SHOW HR\Scene-006.mp4,2.008
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-007.mp4,2.011
Black and Green,temp_clips\TRUMAN SHOW HR\Scene-008.mp4,4.02
Black and Green,temp_clips\TRUMAN SHOW HR\Scene-009.mp4,2.021
Black and Green,temp_clips\TRUMAN SHOW HR\Scene-010.mp4,2.003
Black and Malibu,temp_clips\TRUMAN SHOW HR\Scene-011.mp4,2.006
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-012.mp4,4.015
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-013.mp4,6.027
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-014.mp4,12.032
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-015.mp4,4.009
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-016.mp4,20.037
Black and Navy,temp_clips\TRUMAN SHOW HR\Scene-017.mp4,2.022
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-018.mp4,2.004
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-019.mp4,2.008
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-020.mp4,2.011
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-021.mp4,4.02
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-022.mp4,6.01
Black and Olive,temp_clips\TRUMAN SHOW HR\Scene-023.mp4,2.01
Black and Olive,temp_clips\TRUMAN SHOW HR\Scene-024.mp4,4.018
Olive and Purple,temp_clips\TRUMAN SHOW HR\Scene-025.mp4,4.025
Black and Olive,temp_clips\TRUMAN SHOW HR\Scene-026.mp4,4.01
Gray and Black,temp_clips\TRUMAN SHOW HR\Scene-027.mp4,6.022
Black and LightCoral,temp_clips\TRUMAN SHOW HR\Scene-028.mp4,4.006
Olive and Purple,temp_clips\TRUMAN SHOW HR\Scene-029.mp4,2.007
Olive and Purple,temp_clips\TRUMAN SHOW HR\Scene-030.mp4,2.01
Black and Olive,temp_clips\TRUMAN SHOW HR\Scene-031.mp4,2.014
DarkRed and Lime,temp_clips\TRUMAN SHOW HR\Scene-032.mp4,2.017
Black and Olive,temp_clips\TRUMAN SHOW HR\Scene-033.mp4,2.02
Black and Olive,temp_clips\TRUMAN SHOW HR\Scene-034.mp4,2.002
Olive and Purple,temp_clips\TRUMAN SHOW HR\Scene-035.mp4,2.006
Olive and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-036.mp4,2.009
DarkRed and Teal,temp_clips\TRUMAN SHOW HR\Scene-037.mp4,2.012
DarkRed and Green,temp_clips\TRUMAN SHOW HR\Scene-038.mp4,2.016
Olive and Purple,temp_clips\TRUMAN SHOW HR\Scene-039.mp4,2.019
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-040.mp4,2.022
Black and Yellow,temp_clips\TRUMAN SHOW HR\Scene-041.mp4,2.004
Black and Yellow,temp_clips\TRUMAN SHOW HR\Scene-042.mp4,6.018
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-043.mp4,2.018
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-044.mp4,6.01
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-045.mp4,2.01
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-046.mp4,2.013
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-047.mp4,4.022
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-048.mp4,8.018
Black and DarkRed,temp_clips\TRUMAN SHOW HR\Scene-049.mp4,20.021
Navy and Olive,temp_clips\TRUMAN SHOW HR\Scene-050.mp4,4.011
Navy and Green,temp_clips\TRUMAN SHOW HR\Scene-051.mp4,4.018
Navy and Green,temp_clips\TRUMAN SHOW HR\Scene-052.mp4,2.019
