fullpath,length,color
temp_clips\2001_A_SPACE_ODYSSEY\Scene-001.mp4,178.197,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-002.mp4,17.811,DarkRed and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-003.mp4,0.9620000000000001,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-004.mp4,3.01,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-005.mp4,2.674,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-006.mp4,4.718999999999999,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-007.mp4,4.763999999999999,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-008.mp4,4.723,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-009.mp4,23.285,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-010.mp4,56.31100000000001,Black and DarkRed
temp_clips\2001_A_SPACE_ODYSSEY\Scene-011.mp4,5.5089999999999995,Black and Teal
temp_clips\2001_A_SPACE_ODYSSEY\Scene-012.mp4,4.4830000000000005,Black and Navy
temp_clips\2001_A_SPACE_ODYSSEY\Scene-013.mp4,4.756,Navy and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-014.mp4,5.847,Black and DeepSkyBlue
temp_clips\2001_A_SPACE_ODYSSEY\Scene-015.mp4,11.57,Black and Teal
temp_clips\2001_A_SPACE_ODYSSEY\Scene-016.mp4,6.843,Navy and Black
temp_clips\2001_A_SPACE_ODYSSEY\Scene-017.mp4,5.315,Black and Gray
temp_clips\2001_A_SPACE_ODYSSEY\Scene-018.mp4,10.024,Black and Teal
temp_clips\2001_A_SPACE_ODYSSEY\Scene-019.mp4,14.947000000000001,Black and Teal
temp_clips\2001_A_SPACE_ODYSSEY\Scene-020.mp4,4.132,Black and Cyan
temp_clips\2001_A_SPACE_ODYSSEY\Scene-021.mp4,7.897,Teal and DarkRed
